,2k,4k,6k,500k,1k,3k,8k
88,-5,15,-5,5.0,5.0,5.0,5.0
89,-5,15,0,5.0,5.0,5.0,5.0
90,-5,15,5,5.0,5.0,5.0,10.0
91,-5,15,10,5.0,5.0,5.0,10.0
92,-5,15,15,5.0,5.0,5.0,10.0
93,-5,15,20,5.0,5.0,10.0,15.0
94,-5,15,25,5.0,5.0,10.0,15.0
95,-5,15,30,5.0,5.0,10.0,20.0
96,-5,15,35,5.0,5.0,10.0,25.0
97,-5,15,40,5.0,5.0,10.0,25.0
98,-5,15,45,5.0,5.0,10.0,30.0
99,-5,15,50,5.0,5.0,10.0,35.0
100,-5,15,55,5.0,5.0,5.0,40.0
101,-5,15,60,5.0,5.0,5.0,40.0
102,-5,15,65,5.0,5.0,5.0,50.0
103,-5,15,70,5.0,5.0,5.0,55.0
104,-5,15,75,5.0,5.0,5.0,60.0
105,-5,15,80,5.0,5.0,10.0,65.0
106,-5,15,85,5.0,5.0,10.0,65.0
107,-5,15,90,10.0,5.0,10.0,70.0
108,-5,15,95,10.0,5.0,10.0,70.0
109,-5,15,100,10.0,5.0,10.0,75.0
110,-5,20,-5,5.0,5.0,5.0,5.0
111,-5,20,0,5.0,5.0,5.0,5.0
112,-5,20,5,5.0,5.0,10.0,10.0
113,-5,20,10,5.0,5.0,10.0,10.0
114,-5,20,15,5.0,5.0,10.0,10.0
115,-5,20,20,5.0,5.0,10.0,15.0
116,-5,20,25,5.0,5.0,10.0,15.0
117,-5,20,30,5.0,5.0,10.0,20.0
118,-5,20,35,5.0,5.0,10.0,25.0
119,-5,20,40,5.0,5.0,10.0,30.0
120,-5,20,45,5.0,5.0,10.0,30.0
121,-5,20,50,5.0,5.0,10.0,35.0
122,-5,20,55,5.0,5.0,10.0,40.0
123,-5,20,60,5.0,5.0,10.0,45.0
124,-5,20,65,5.0,5.0,10.0,50.0
125,-5,20,70,5.0,5.0,10.0,55.0
126,-5,20,75,5.0,5.0,10.0,60.0
127,-5,20,80,5.0,5.0,10.0,65.0
128,-5,20,85,5.0,5.0,10.0,70.0
129,-5,20,90,10.0,5.0,10.0,70.0
130,-5,20,95,10.0,5.0,10.0,70.0
131,-5,20,100,10.0,5.0,10.0,75.0
132,-5,25,-5,5.0,5.0,10.0,5.0
133,-5,25,0,5.0,5.0,10.0,5.0
134,-5,25,5,5.0,5.0,10.0,10.0
135,-5,25,10,5.0,5.0,10.0,10.0
136,-5,25,15,5.0,5.0,10.0,15.0
137,-5,25,20,5.0,5.0,10.0,15.0
138,-5,25,25,5.0,5.0,10.0,20.0
139,-5,25,30,5.0,5.0,15.0,20.0
140,-5,25,35,5.0,5.0,15.0,25.0
141,-5,25,40,5.0,5.0,15.0,30.0
142,-5,25,45,5.0,5.0,10.0,35.0
143,-5,25,50,5.0,5.0,10.0,35.0
144,-5,25,55,5.0,5.0,10.0,40.0
145,-5,25,60,5.0,5.0,10.0,45.0
146,-5,25,65,5.0,5.0,10.0,50.0
147,-5,25,70,5.0,5.0,10.0,55.0
148,-5,25,75,5.0,5.0,10.0,60.0
149,-5,25,80,5.0,5.0,10.0,65.0
150,-5,25,85,10.0,5.0,10.0,70.0
151,-5,25,90,10.0,5.0,10.0,70.0
152,-5,25,95,10.0,5.0,10.0,75.0
153,-5,25,100,10.0,5.0,10.0,75.0
154,-5,30,-5,5.0,5.0,10.0,5.0
155,-5,30,0,5.0,5.0,15.0,5.0
156,-5,30,5,5.0,5.0,15.0,10.0
157,-5,30,10,5.0,5.0,15.0,10.0
158,-5,30,15,5.0,5.0,15.0,10.0
159,-5,30,20,5.0,5.0,15.0,15.0
160,-5,30,25,5.0,5.0,15.0,15.0
161,-5,30,30,5.0,5.0,15.0,20.0
162,-5,30,35,5.0,5.0,15.0,25.0
163,-5,30,40,5.0,5.0,15.0,30.0
164,-5,30,45,5.0,5.0,15.0,35.0
165,-5,30,50,5.0,5.0,15.0,35.0
166,-5,30,55,5.0,5.0,15.0,45.0
167,-5,30,60,5.0,5.0,15.0,45.0
168,-5,30,65,5.0,5.0,15.0,50.0
169,-5,30,70,5.0,5.0,10.0,55.0
170,-5,30,75,5.0,5.0,10.0,60.0
171,-5,30,80,5.0,5.0,10.0,65.0
172,-5,30,85,5.0,5.0,10.0,70.0
173,-5,30,90,10.0,5.0,10.0,75.0
174,-5,30,95,10.0,5.0,10.0,75.0
175,-5,30,100,10.0,5.0,15.0,75.0
176,-5,35,-5,5.0,0.0,15.0,5.0
177,-5,35,0,5.0,0.0,15.0,5.0
178,-5,35,5,5.0,5.0,15.0,10.0
179,-5,35,10,5.0,5.0,15.0,10.0
180,-5,35,15,5.0,5.0,15.0,10.0
181,-5,35,20,5.0,5.0,15.0,15.0
182,-5,35,25,5.0,5.0,15.0,15.0
183,-5,35,30,5.0,5.0,20.0,20.0
184,-5,35,35,5.0,5.0,20.0,25.0
185,-5,35,40,5.0,5.0,20.0,25.0
186,-5,35,45,5.0,5.0,20.0,30.0
187,-5,35,50,5.0,5.0,15.0,35.0
188,-5,35,55,5.0,5.0,15.0,40.0
189,-5,35,60,5.0,5.0,15.0,45.0
190,-5,35,65,5.0,5.0,15.0,50.0
191,-5,35,70,5.0,5.0,15.0,55.0
192,-5,35,75,5.0,5.0,15.0,60.0
193,-5,35,80,5.0,5.0,15.0,65.0
194,-5,35,85,10.0,5.0,15.0,70.0
195,-5,35,90,5.0,5.0,15.0,75.0
196,-5,35,95,10.0,5.0,15.0,75.0
197,-5,35,100,10.0,5.0,15.0,75.0
198,-5,40,-5,5.0,0.0,20.0,5.0
199,-5,40,0,5.0,0.0,20.0,5.0
200,-5,40,5,5.0,5.0,20.0,10.0
201,-5,40,10,5.0,5.0,20.0,10.0
202,-5,40,15,5.0,5.0,20.0,10.0
203,-5,40,20,5.0,5.0,20.0,15.0
204,-5,40,25,5.0,5.0,20.0,15.0
205,-5,40,30,5.0,5.0,20.0,20.0
206,-5,40,35,5.0,5.0,20.0,20.0
207,-5,40,40,5.0,5.0,20.0,25.0
208,-5,40,45,5.0,5.0,20.0,30.0
209,-5,40,50,5.0,5.0,20.0,35.0
210,-5,40,55,5.0,5.0,20.0,40.0
211,-5,40,60,5.0,5.0,20.0,45.0
212,-5,40,65,5.0,5.0,15.0,55.0
213,-5,40,70,5.0,5.0,15.0,55.0
214,-5,40,75,5.0,5.0,15.0,60.0
215,-5,40,80,5.0,5.0,15.0,65.0
216,-5,40,85,5.0,5.0,15.0,70.0
217,-5,40,90,5.0,5.0,15.0,70.0
218,-5,40,95,10.0,5.0,15.0,75.0
219,-5,40,100,10.0,5.0,15.0,75.0
220,-5,45,-5,5.0,5.0,20.0,10.0
221,-5,45,0,5.0,5.0,20.0,10.0
222,-5,45,5,5.0,5.0,20.0,10.0
223,-5,45,10,5.0,5.0,25.0,10.0
224,-5,45,15,5.0,5.0,25.0,15.0
225,-5,45,20,5.0,5.0,25.0,15.0
226,-5,45,25,5.0,5.0,25.0,15.0
227,-5,45,30,5.0,5.0,25.0,20.0
228,-5,45,35,5.0,5.0,25.0,20.0
229,-5,45,40,5.0,5.0,25.0,25.0
230,-5,45,45,5.0,5.0,25.0,30.0
231,-5,45,50,5.0,5.0,25.0,35.0
232,-5,45,55,5.0,5.0,25.0,40.0
233,-5,45,60,5.0,5.0,25.0,45.0
234,-5,45,65,5.0,5.0,20.0,50.0
235,-5,45,70,5.0,5.0,20.0,55.0
236,-5,45,75,5.0,5.0,20.0,60.0
237,-5,45,80,5.0,5.0,20.0,65.0
238,-5,45,85,5.0,5.0,20.0,70.0
239,-5,45,90,5.0,5.0,20.0,75.0
240,-5,45,95,5.0,5.0,20.0,75.0
241,-5,45,100,5.0,5.0,20.0,80.0
242,-5,50,-5,5.0,5.0,20.0,10.0
243,-5,50,0,5.0,5.0,20.0,10.0
244,-5,50,5,5.0,5.0,25.0,10.0
245,-5,50,10,5.0,5.0,25.0,10.0
246,-5,50,15,5.0,5.0,25.0,15.0
247,-5,50,20,5.0,5.0,25.0,15.0
248,-5,50,25,5.0,5.0,25.0,15.0
249,-5,50,30,5.0,5.0,25.0,20.0
250,-5,50,35,5.0,5.0,25.0,20.0
251,-5,50,40,5.0,5.0,30.0,25.0
252,-5,50,45,5.0,5.0,30.0,30.0
253,-5,50,50,5.0,5.0,30.0,35.0
254,-5,50,55,5.0,5.0,30.0,40.0
255,-5,50,60,5.0,5.0,25.0,50.0
256,-5,50,65,5.0,5.0,25.0,50.0
257,-5,50,70,5.0,5.0,25.0,55.0
258,-5,50,75,5.0,5.0,25.0,60.0
259,-5,50,80,5.0,5.0,25.0,70.0
260,-5,50,85,5.0,5.0,20.0,70.0
261,-5,50,90,5.0,5.0,20.0,75.0
262,-5,50,95,5.0,5.0,20.0,75.0
263,-5,50,100,10.0,5.0,25.0,80.0
264,-5,55,-5,5.0,5.0,25.0,10.0
265,-5,55,0,5.0,5.0,25.0,10.0
266,-5,55,5,5.0,5.0,25.0,10.0
267,-5,55,10,5.0,5.0,25.0,15.0
268,-5,55,15,5.0,5.0,25.0,15.0
269,-5,55,20,5.0,5.0,30.0,15.0
270,-5,55,25,5.0,5.0,30.0,15.0
271,-5,55,30,5.0,5.0,30.0,20.0
272,-5,55,35,5.0,5.0,30.0,20.0
273,-5,55,40,5.0,5.0,30.0,25.0
274,-5,55,45,5.0,5.0,30.0,30.0
275,-5,55,50,5.0,5.0,30.0,35.0
276,-5,55,55,5.0,5.0,30.0,40.0
277,-5,55,60,5.0,5.0,30.0,45.0
278,-5,55,65,5.0,5.0,30.0,50.0
279,-5,55,70,5.0,5.0,30.0,55.0
280,-5,55,75,5.0,5.0,30.0,65.0
281,-5,55,80,5.0,5.0,25.0,70.0
282,-5,55,85,5.0,5.0,25.0,70.0
283,-5,55,90,5.0,5.0,25.0,75.0
284,-5,55,95,5.0,5.0,25.0,75.0
285,-5,55,100,10.0,5.0,25.0,80.0
286,-5,60,-5,5.0,5.0,25.0,10.0
287,-5,60,0,5.0,5.0,25.0,15.0
288,-5,60,5,5.0,5.0,30.0,15.0
289,-5,60,10,5.0,5.0,30.0,15.0
290,-5,60,15,5.0,5.0,30.0,15.0
291,-5,60,20,5.0,5.0,30.0,15.0
292,-5,60,25,5.0,5.0,30.0,15.0
293,-5,60,30,5.0,5.0,30.0,20.0
294,-5,60,35,5.0,5.0,30.0,25.0
295,-5,60,40,5.0,5.0,35.0,25.0
296,-5,60,45,5.0,5.0,35.0,30.0
297,-5,60,50,5.0,5.0,35.0,35.0
298,-5,60,55,5.0,5.0,35.0,40.0
299,-5,60,60,5.0,5.0,35.0,45.0
300,-5,60,65,5.0,5.0,35.0,50.0
301,-5,60,70,5.0,5.0,35.0,55.0
302,-5,60,75,5.0,5.0,30.0,65.0
303,-5,60,80,5.0,5.0,30.0,70.0
304,-5,60,85,5.0,5.0,30.0,70.0
305,-5,60,90,5.0,5.0,25.0,75.0
306,-5,60,95,5.0,5.0,30.0,75.0
307,-5,60,100,5.0,5.0,30.0,80.0
308,-5,65,-5,5.0,5.0,25.0,15.0
309,-5,65,0,5.0,5.0,30.0,15.0
310,-5,65,5,5.0,5.0,30.0,15.0
311,-5,65,10,5.0,5.0,30.0,15.0
312,-5,65,15,5.0,5.0,30.0,15.0
313,-5,65,20,5.0,5.0,30.0,15.0
314,-5,65,25,5.0,5.0,30.0,20.0
315,-5,65,30,5.0,5.0,30.0,20.0
316,-5,65,35,5.0,5.0,35.0,25.0
317,-5,65,40,5.0,5.0,35.0,25.0
318,-5,65,45,5.0,5.0,35.0,30.0
319,-5,65,50,5.0,5.0,35.0,35.0
320,-5,65,55,5.0,5.0,40.0,40.0
321,-5,65,60,5.0,5.0,35.0,50.0
322,-5,65,65,5.0,5.0,35.0,55.0
323,-5,65,70,5.0,5.0,35.0,60.0
324,-5,65,75,5.0,5.0,35.0,65.0
325,-5,65,80,5.0,5.0,30.0,70.0
326,-5,65,85,5.0,5.0,30.0,75.0
327,-5,65,90,5.0,5.0,30.0,75.0
328,-5,65,95,5.0,5.0,30.0,80.0
329,-5,65,100,10.0,5.0,35.0,80.0
330,-5,70,-5,5.0,5.0,30.0,15.0
331,-5,70,0,5.0,5.0,30.0,15.0
332,-5,70,5,5.0,5.0,30.0,15.0
333,-5,70,10,5.0,5.0,35.0,15.0
334,-5,70,15,5.0,5.0,35.0,15.0
335,-5,70,20,5.0,5.0,35.0,20.0
336,-5,70,25,5.0,5.0,35.0,20.0
337,-5,70,30,5.0,5.0,35.0,25.0
338,-5,70,35,5.0,5.0,35.0,25.0
339,-5,70,40,5.0,5.0,40.0,25.0
340,-5,70,45,5.0,5.0,35.0,30.0
341,-5,70,50,5.0,5.0,40.0,40.0
342,-5,70,55,5.0,5.0,40.0,45.0
343,-5,70,60,5.0,5.0,40.0,50.0
344,-5,70,65,5.0,5.0,40.0,55.0
345,-5,70,70,5.0,5.0,40.0,60.0
346,-5,70,75,5.0,5.0,40.0,65.0
347,-5,70,80,5.0,5.0,35.0,70.0
348,-5,70,85,5.0,5.0,35.0,75.0
349,-5,70,90,5.0,5.0,35.0,75.0
350,-5,70,95,5.0,5.0,35.0,80.0
351,-5,70,100,10.0,5.0,35.0,80.0
352,-5,75,-5,5.0,5.0,30.0,15.0
353,-5,75,0,5.0,5.0,30.0,15.0
354,-5,75,5,5.0,5.0,35.0,15.0
355,-5,75,10,5.0,5.0,35.0,15.0
356,-5,75,15,5.0,5.0,35.0,20.0
357,-5,75,20,5.0,5.0,35.0,20.0
358,-5,75,25,5.0,5.0,40.0,25.0
359,-5,75,30,5.0,5.0,40.0,25.0
360,-5,75,35,5.0,5.0,40.0,30.0
361,-5,75,40,5.0,5.0,40.0,30.0
362,-5,75,45,5.0,5.0,40.0,35.0
363,-5,75,50,5.0,5.0,40.0,45.0
364,-5,75,55,5.0,5.0,40.0,50.0
365,-5,75,60,5.0,5.0,40.0,55.0
366,-5,75,65,5.0,5.0,40.0,55.0
367,-5,75,70,5.0,5.0,40.0,60.0
368,-5,75,75,5.0,5.0,40.0,65.0
369,-5,75,80,5.0,5.0,40.0,70.0
370,-5,75,85,5.0,5.0,40.0,75.0
371,-5,75,90,5.0,5.0,40.0,75.0
372,-5,75,95,5.0,5.0,40.0,80.0
373,-5,75,100,10.0,5.0,40.0,80.0
374,-5,80,-5,5.0,5.0,35.0,15.0
375,-5,80,0,5.0,5.0,35.0,15.0
376,-5,80,5,5.0,5.0,35.0,15.0
377,-5,80,10,5.0,5.0,40.0,20.0
378,-5,80,15,5.0,5.0,40.0,20.0
379,-5,80,20,5.0,5.0,40.0,25.0
380,-5,80,25,5.0,5.0,40.0,25.0
381,-5,80,30,5.0,5.0,45.0,30.0
382,-5,80,35,5.0,5.0,40.0,30.0
383,-5,80,40,5.0,5.0,40.0,35.0
384,-5,80,45,5.0,5.0,45.0,40.0
385,-5,80,50,5.0,5.0,45.0,45.0
386,-5,80,55,5.0,5.0,45.0,50.0
387,-5,80,60,5.0,5.0,45.0,55.0
388,-5,80,65,5.0,5.0,45.0,60.0
389,-5,80,70,5.0,5.0,45.0,65.0
390,-5,80,75,5.0,5.0,45.0,70.0
391,-5,80,80,5.0,5.0,40.0,75.0
392,-5,80,85,5.0,5.0,40.0,75.0
393,-5,80,90,5.0,5.0,40.0,75.0
394,-5,80,95,5.0,5.0,45.0,80.0
395,-5,80,100,10.0,5.0,45.0,80.0
396,-5,85,-5,5.0,5.0,35.0,15.0
397,-5,85,0,5.0,5.0,35.0,15.0
398,-5,85,5,10.0,5.0,40.0,20.0
399,-5,85,10,5.0,5.0,40.0,20.0
400,-5,85,15,5.0,5.0,40.0,20.0
401,-5,85,20,5.0,5.0,45.0,30.0
402,-5,85,25,5.0,5.0,45.0,30.0
403,-5,85,30,5.0,5.0,45.0,30.0
404,-5,85,35,5.0,5.0,45.0,35.0
405,-5,85,40,5.0,5.0,45.0,35.0
406,-5,85,45,5.0,5.0,45.0,45.0
407,-5,85,50,5.0,5.0,45.0,50.0
408,-5,85,55,5.0,5.0,45.0,55.0
409,-5,85,60,5.0,5.0,45.0,55.0
410,-5,85,65,5.0,5.0,45.0,60.0
411,-5,85,70,5.0,5.0,45.0,65.0
412,-5,85,75,5.0,5.0,45.0,70.0
413,-5,85,80,5.0,5.0,45.0,75.0
414,-5,85,85,5.0,5.0,45.0,75.0
415,-5,85,90,5.0,5.0,45.0,80.0
416,-5,85,95,5.0,5.0,50.0,80.0
417,-5,85,100,5.0,5.0,50.0,80.0
418,-5,90,-5,5.0,5.0,35.0,15.0
419,-5,90,0,10.0,5.0,40.0,20.0
420,-5,90,5,10.0,5.0,40.0,20.0
421,-5,90,10,5.0,5.0,40.0,20.0
422,-5,90,15,5.0,5.0,45.0,25.0
423,-5,90,20,10.0,5.0,45.0,30.0
424,-5,90,25,5.0,5.0,45.0,30.0
425,-5,90,30,5.0,5.0,45.0,35.0
426,-5,90,35,10.0,5.0,45.0,40.0
427,-5,90,40,5.0,5.0,45.0,40.0
428,-5,90,45,5.0,5.0,45.0,45.0
429,-5,90,50,5.0,5.0,45.0,55.0
430,-5,90,55,5.0,5.0,45.0,55.0
431,-5,90,60,5.0,5.0,45.0,60.0
432,-5,90,65,5.0,5.0,50.0,65.0
433,-5,90,70,5.0,5.0,50.0,65.0
434,-5,90,75,5.0,5.0,50.0,70.0
435,-5,90,80,5.0,5.0,50.0,75.0
436,-5,90,85,5.0,5.0,50.0,75.0
437,-5,90,90,5.0,5.0,50.0,80.0
438,-5,90,95,5.0,5.0,50.0,80.0
439,-5,90,100,5.0,5.0,50.0,85.0
440,-5,95,-5,10.0,5.0,40.0,20.0
441,-5,95,0,10.0,5.0,40.0,20.0
442,-5,95,5,10.0,5.0,40.0,20.0
443,-5,95,10,10.0,10.0,45.0,25.0
444,-5,95,15,10.0,5.0,45.0,30.0
445,-5,95,20,10.0,5.0,45.0,30.0
446,-5,95,25,5.0,5.0,45.0,35.0
447,-5,95,30,10.0,5.0,45.0,40.0
448,-5,95,35,5.0,5.0,45.0,40.0
449,-5,95,40,5.0,5.0,45.0,45.0
450,-5,95,45,5.0,5.0,50.0,55.0
451,-5,95,50,5.0,5.0,50.0,55.0
452,-5,95,55,5.0,5.0,50.0,60.0
453,-5,95,60,5.0,5.0,50.0,65.0
454,-5,95,65,5.0,5.0,50.0,65.0
455,-5,95,70,5.0,5.0,50.0,70.0
456,-5,95,75,5.0,5.0,50.0,70.0
457,-5,95,80,5.0,5.0,50.0,75.0
458,-5,95,85,5.0,5.0,50.0,80.0
459,-5,95,90,5.0,5.0,55.0,80.0
460,-5,95,95,5.0,5.0,55.0,80.0
461,-5,95,100,5.0,5.0,55.0,85.0
462,-5,100,-5,10.0,5.0,40.0,20.0
463,-5,100,0,10.0,5.0,40.0,20.0
464,-5,100,5,10.0,5.0,40.0,25.0
465,-5,100,10,10.0,10.0,45.0,30.0
466,-5,100,15,10.0,5.0,45.0,30.0
467,-5,100,20,10.0,5.0,45.0,30.0
468,-5,100,25,10.0,5.0,45.0,40.0
469,-5,100,30,10.0,5.0,50.0,40.0
470,-5,100,35,10.0,5.0,45.0,45.0
471,-5,100,40,10.0,5.0,50.0,50.0
472,-5,100,45,5.0,5.0,50.0,55.0
473,-5,100,50,5.0,5.0,50.0,55.0
474,-5,100,55,10.0,5.0,50.0,65.0
475,-5,100,60,10.0,5.0,50.0,65.0
476,-5,100,65,5.0,5.0,50.0,65.0
477,-5,100,70,5.0,5.0,50.0,70.0
478,-5,100,75,10.0,5.0,50.0,75.0
479,-5,100,80,10.0,5.0,55.0,75.0
480,-5,100,85,5.0,5.0,55.0,80.0
481,-5,100,90,5.0,5.0,55.0,80.0
482,-5,100,95,10.0,5.0,55.0,80.0
483,-5,100,100,10.0,5.0,55.0,85.0
484,0,-5,-5,0.0,-0.0,-0.0,0.0
485,0,-5,0,5.0,0.0,0.0,5.0
486,0,-5,5,5.0,0.0,0.0,5.0
487,0,-5,10,5.0,0.0,0.0,5.0
488,0,-5,15,5.0,0.0,0.0,10.0
489,0,-5,20,5.0,5.0,5.0,10.0
490,0,-5,25,5.0,5.0,5.0,10.0
491,0,-5,30,5.0,0.0,5.0,15.0
492,0,-5,35,5.0,5.0,5.0,15.0
493,0,-5,40,5.0,0.0,5.0,20.0
494,0,-5,45,5.0,0.0,5.0,20.0
495,0,-5,50,5.0,5.0,5.0,25.0
496,0,-5,55,5.0,5.0,5.0,30.0
497,0,-5,60,5.0,5.0,5.0,35.0
498,0,-5,65,5.0,5.0,5.0,40.0
499,0,-5,70,5.0,5.0,5.0,50.0
500,0,-5,75,5.0,5.0,5.0,55.0
501,0,-5,80,5.0,5.0,5.0,60.0
502,0,-5,85,10.0,5.0,5.0,65.0
503,0,-5,90,10.0,5.0,5.0,65.0
504,0,-5,95,10.0,5.0,5.0,70.0
505,0,-5,100,10.0,5.0,5.0,70.0
506,0,0,-5,5.0,0.0,0.0,5.0
507,0,0,0,5.0,0.0,0.0,5.0
508,0,0,5,5.0,0.0,0.0,5.0
509,0,0,10,5.0,0.0,0.0,5.0
510,0,0,15,5.0,0.0,0.0,10.0
511,0,0,20,5.0,5.0,5.0,10.0
512,0,0,25,5.0,5.0,5.0,10.0
513,0,0,30,5.0,0.0,5.0,15.0
514,0,0,35,5.0,5.0,5.0,15.0
515,0,0,40,5.0,0.0,5.0,20.0
516,0,0,45,5.0,0.0,5.0,20.0
517,0,0,50,5.0,5.0,5.0,25.0
518,0,0,55,5.0,5.0,5.0,30.0
519,0,0,60,5.0,5.0,5.0,35.0
520,0,0,65,5.0,5.0,5.0,45.0
521,0,0,70,5.0,5.0,5.0,50.0
522,0,0,75,5.0,5.0,5.0,55.0
523,0,0,80,5.0,5.0,5.0,65.0
524,0,0,85,10.0,5.0,5.0,65.0
525,0,0,90,10.0,5.0,5.0,70.0
526,0,0,95,10.0,5.0,10.0,70.0
527,0,0,100,10.0,5.0,10.0,70.0
528,0,5,-5,5.0,5.0,5.0,5.0
529,0,5,0,5.0,5.0,5.0,5.0
530,0,5,5,5.0,5.0,5.0,5.0
531,0,5,10,5.0,5.0,5.0,10.0
532,0,5,15,5.0,5.0,5.0,10.0
533,0,5,20,5.0,5.0,5.0,10.0
534,0,5,25,5.0,5.0,5.0,15.0
535,0,5,30,5.0,5.0,5.0,15.0
536,0,5,35,5.0,5.0,5.0,20.0
537,0,5,40,5.0,5.0,5.0,20.0
538,0,5,45,5.0,5.0,5.0,25.0
539,0,5,50,5.0,5.0,5.0,30.0
540,0,5,55,5.0,5.0,5.0,35.0
541,0,5,60,5.0,5.0,5.0,40.0
542,0,5,65,5.0,5.0,5.0,45.0
543,0,5,70,5.0,5.0,5.0,50.0
544,0,5,75,5.0,5.0,5.0,60.0
545,0,5,80,5.0,5.0,5.0,65.0
546,0,5,85,5.0,5.0,5.0,70.0
547,0,5,90,10.0,5.0,10.0,70.0
548,0,5,95,10.0,5.0,10.0,70.0
549,0,5,100,10.0,5.0,10.0,70.0
550,0,10,-5,5.0,5.0,5.0,5.0
551,0,10,0,5.0,5.0,5.0,5.0
552,0,10,5,5.0,5.0,5.0,5.0
553,0,10,10,5.0,5.0,5.0,10.0
554,0,10,15,5.0,5.0,5.0,10.0
555,0,10,20,5.0,5.0,5.0,15.0
556,0,10,25,5.0,5.0,5.0,15.0
